time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
0	0.001782523131952053	0.018231039955502466	0.3730893135070801	3.6501026153564453	6.829447269439697	9.456716060638428	14.143649816513062	2.0615007877349854	16.723506212234497	0.00017088622985709357	1
1	0.0018019955673497239	0.017008986966363316	0.17279632886250815	-	-	-	-	-	-	0.00023146877624480127	1
2	0.0018327067775797223	0.017059852337015086	0.1730328400929769	-	-	-	-	-	-	0.00035242579544610277	1
3	0.0018521726579594432	0.017064921061197915	0.17299389839172363	-	-	-	-	-	-	0.00031103021007473187	1
4	0.0018809524201254808	0.017128969060963596	0.17316238085428873	-	-	-	-	0.872828483581543	-	0.00031874211102703506	1
5	0.0019083919451218243	0.0170919812958816	0.17301122347513834	-	-	-	-	-	-	0.00036034217247596156	1
6	0.0019430363272118756	0.017517056958428746	0.1731562614440918	-	-	-	-	0.8789370059967041	-	0.00040736910988205315	1
7	0.001957016331808908	0.021033027897710384	0.17247883478800455	1.7444214820861816	-	-	-	0.8740658760070801	-	0.00047319079818649825	1
8	0.0019710826873779296	0.01752345315341292	0.17350506782531738	-	-	-	-	-	-	0.0004406132788028357	1
9	0.0019955818469707784	0.01740320797624259	0.17186363538106283	-	-	-	-	0.8815011978149414	-	0.0006056529940761088	1
10	0.0020325566515510467	0.017194229980994916	0.17292118072509766	-	-	-	-	-	-	0.0006636605078344187	1
11	0.002046682033301389	0.01734293358666556	0.17314434051513672	1.7514691352844238	-	-	-	0.8708784580230713	-	0.0005679559139978318	1
12	0.002043459919973033	0.017243681282832705	0.17487136522928873	-	-	-	-	-	-	0.0006018577159706693	1
13	0.002057098348935445	0.017209513434048355	0.17649356524149576	-	3.4563753604888916	-	-	0.8771023750305176	-	0.0005976912035537159	1
14	0.0020776736636121734	0.017426827858234274	0.17590181032816568	1.7450237274169922	-	-	-	0.8739399909973145	-	0.000585258226453161	1
15	0.0020957074266798954	0.017594805785587857	0.17671545346577963	-	-	-	-	-	-	0.0006369125953866825	1
16	0.002101985444413855	0.0172295488160232	0.1763683557510376	-	-	-	-	0.8790862560272217	-	0.0006699591999772204	1
17	0.001760598151914535	0.01692804495493571	0.17562548319498697	-	-	-	-	-	-	0.00020197462751491698	1
18	0.0017533259883894192	0.01696380253495841	0.1753826936086019	1.754899501800537	-	-	-	0.8729138374328613	-	0.0001792705014772372	1
19	0.001786950705707937	0.017023468017578126	0.1741313934326172	-	-	5.203128814697266	-	-	-	0.00022840487688840776	1
20	0.001790746342052113	0.01711544497259732	0.1735212802886963	-	3.464627981185913	-	-	0.8781359195709229	-	0.0002201728368017723	1
21	0.0018298581630323899	0.01775892291750227	0.17483282089233398	1.7480404376983643	-	-	-	0.874608039855957	-	0.00026954175456695106	1
22	0.0018603279905499153	0.01756875855582101	0.17466449737548828	-	-	-	-	-	-	0.00033069254247819686	1
23	0.00188284815499609	0.01722373633549131	0.17425195376078287	-	-	-	-	0.8784499168395996	-	0.0003660379817444895	1
24	0.0017987742041149278	0.017075629069887358	0.17408621311187744	-	-	-	-	-	-	0.0002344764316931249	1
25	0.0017554454531958094	0.016905585924784344	0.17426498730977377	1.7558097839355469	-	-	-	0.8729007244110107	-	0.00018027480436726162	1
26	0.00178052204242651	0.016952415992473734	0.17393763860066733	-	-	-	-	-	-	0.00025622540763012075	1
27	0.001759885038648333	0.018261917999812534	0.17514848709106445	-	3.4514272212982178	-	-	0.8787562847137451	-	0.00016541359694811043	1
28	0.0017702184992728473	0.017193588717230434	0.1741169293721517	1.7411460876464844	-	-	7.323045969009399	0.8736371994018555	-	0.0002218555482181917	1
29	0.001807854456060073	0.017627494675772532	0.17498119672139487	-	-	5.207861423492432	-	-	-	0.00025298290948639436	1
30	0.0018403841488396943	0.017849368708474294	0.17451977729797363	-	-	-	-	0.8783864974975586	-	0.00029609783192347124	1
31	0.0018383291230272892	0.025986683368682862	0.17452919483184814	-	-	-	-	-	-	0.00035891275148133974	1
32	0.0018582434024450914	0.03398498467036656	0.1755987008412679	1.7561533451080322	-	-	-	0.8743147850036621	-	0.0004118728051591694	1
33	0.0018814001374572288	0.018201044627598355	0.17881011962890625	-	-	-	-	-	8.695754051208496	0.0004246394270265436	1
34	0.0018984482838557317	0.01778156416756766	0.17473300298055014	-	3.46659255027771	-	-	0.8786568641662598	-	0.00043997898280063525	1
35	0.001905079959898956	0.01765741620744978	0.17447169621785483	1.7458515167236328	-	-	-	0.8735623359680176	-	0.0003633460060494845	1
36	0.001800045479823203	0.01707180615129142	0.17464097340901694	-	-	-	-	-	-	0.00027153184337000695	1
37	0.0018349103073575603	0.01720255818860284	0.17423725128173828	-	-	-	-	0.8786256313323975	-	0.000544727730700632	1
38	0.001838632483980549	0.01709253212501263	0.17415142059326172	-	-	-	-	-	-	0.001084420063305132	1
39	0.0018635437344059799	0.016986529032389324	0.17444666226704916	1.7702441215515137	-	-	-	0.8740434646606445	-	0.0003612200540998962	1
40	0.0018910018877051342	0.017153501510620117	0.17411422729492188	-	-	5.301797866821289	-	-	-	0.00033110844005237924	1
41	0.0019145781891819105	0.017284163113298088	0.17462476094563803	-	3.4522929191589355	-	-	0.8793220520019531	-	0.00039222298017846456	1
42	0.0018598574512409714	0.01756417751312256	0.17485404014587402	1.7477672100067139	-	-	-	0.8741302490234375	-	0.00035877984722949504	1
43	0.0018291570883258125	0.03096876424901626	0.17415404319763184	-	-	-	7.4161272048950195	-	-	0.00032426288126107894	1
44	0.0018517809702937765	0.038395624894362226	0.17486135164896646	-	-	-	-	0.8784303665161133	-	0.0005438417958735889	1
45	0.0018162920906095047	0.020348621451336403	0.17441892623901367	-	-	-	-	-	-	0.0002922526170327065	1
46	0.001821124685646423	0.017104744911193848	0.17454330126444498	1.7573871612548828	-	-	-	0.8763289451599121	-	0.00028291840115492753	1
47	0.0018585834863050928	0.0172142900269607	0.17432657877604166	-	-	-	-	-	-	0.000369674330010615	1
48	0.0018769193241614422	0.017281268324170793	0.17459932963053384	-	3.636075973510742	-	-	0.8789713382720947	-	0.000438705114983517	1
49	0.0018984473668611967	0.01755923238293878	0.17439770698547363	1.7465386390686035	-	-	-	0.8734538555145264	-	0.0005476310146143027	1
50	0.0018634118817069314	0.02234197746623646	0.17519315083821616	-	-	5.491475343704224	-	-	-	0.0003094363084057913	1
51	0.0018017178904401125	0.026268595143368368	0.17480071385701498	-	-	-	-	0.8780255317687988	8.743801355361938	0.0004895696136079067	1
52	0.001792711933163831	0.01733299781536234	0.17421460151672363	-	-	-	-	-	-	0.00031867838043300837	1
53	0.0018171991369381163	0.017145576148197568	0.174591064453125	1.756117820739746	-	-	-	0.8738970756530762	-	0.0002699979845607182	1
54	0.0018454758861984654	0.017174317918974776	0.17429423332214355	-	-	-	-	-	-	0.0003353511300938223	1
55	0.001875268189172781	0.017291784286499023	0.1727921962738037	-	3.4595694541931152	-	-	0.8784873485565186	-	0.0004093659496723825	1
56	0.0018756335225848643	0.017280545727959996	0.17421825726826987	1.7489256858825684	-	-	-	0.8736371994018555	-	0.00041128134603516894	1
57	0.0019026345727986812	0.017318676257955617	0.17557326952616373	-	-	-	-	-	-	0.0004351125884165962	1
58	0.0019179949036831985	0.017547190189361572	0.1744365692138672	-	-	-	6.999319553375244	0.8787152767181396	-	0.00042593269630453304	1
59	0.00191469322382708	0.01747128881257156	0.17540343602498373	-	-	-	-	-	-	0.000403996782187559	1
60	0.0017987289567933465	0.01707796392769649	0.1743781566619873	1.755232572555542	-	-	-	0.8746566772460938	-	0.0002564277550945543	1
61	0.007587141850415398	0.05331859588623047	0.24828839302062988	-	-	5.520147800445557	-	-	-	0.0012339463511716973	1
62	0.24936461448669434	0.2574329376220703	0.5271414518356323	-	3.504196882247925	-	-	0.8831369876861572	-	0.24993634223937988	1
63	0.3498048782348633	0.35027873516082764	-	2.740809679031372	-	-	-	-	-	0.34994471073150635	1
64	0.4076821804046631	0.34305548667907715	0.8659863471984863	-	-	-	-	1.5012540817260742	-	0.399766206741333	1
